EVENTGROUPINGATTRIBUTE|VALUE|NAME
5|FC|Location
5|1427342400000|Start Date
5|NA|opponent
6|FC|Location
6|1427342400000|Start Date
6|1427406950000|Start Time
7|FC|Location
7|1427342400000|Start Date
7|1427408287000|Start Time
8|NA|Location
8|1427342400000|Start Date
8|NA|opponent
9|NA|Location
9|1427342400000|Start Date
9|1427410852000|Start Time
10|NA|Location
10|1427342400000|Start Date
10|1427412498000|Start Time
11|NA|Location
11|1427342400000|Start Date
11|1427413855000|Start Time
12|Derry|Location
12|Derry|Name
13|Derry|Location
13|1427515200000|Start Date
13|Latrobe|opponent
14|Derry|Location
14|1427515200000|Start Date
14|1427546490000|Start Time
15|Derry|Location
15|1427515200000|Start Date
15|1427547789000|Start Time
18|Derry|Location
18|1427515200000|Start Date
18|Shaler|opponent
19|Derry|Location
19|1427515200000|Start Date
19|1427564143000|Start Time
20|Derry|Location
20|1427515200000|Start Date
20|1427565327000|Start Time
21|Derry|Location
21|1427515200000|Start Date
21|NA|opponent
22|Derry|Location
22|1427515200000|Start Date
22|1427569582000|Start Time
23|Derry|Location
23|1427515200000|Start Date
23|1427570981000|Start Time
24|Derry|Location
24|1427515200000|Start Date
24|Deer Lakes|opponent
25|Derry|Location
25|1427515200000|Start Date
25|1427576194000|Start Time
26|Derry|Location
26|1427515200000|Start Date
26|Derry|opponent
27|Derry|Location
27|1427515200000|Start Date
27|1427578886000|Start Time
28|Derry|Location
28|1427515200000|Start Date
28|Altoona|opponent
29|Derry|Location
29|1427515200000|Start Date
29|1427581100000|Start Time
30|Derry|Location
30|1427515200000|Start Date
30|Penn Trafford|opponent
31|Derry|Location
31|1427515200000|Start Date
31|1427582510000|Start Time
32|FC|Location
32|1428379200000|Start Date
32|North Hills |opponent
33|FC|Location
33|1428379200000|Start Date
33|1428444131000|Start Time
34|FC|Location
34|1428379200000|Start Date
34|1428445475000|Start Time
35|FC|Location
35|1428379200000|Start Date
35|North Hills|opponent
36|FC|Location
36|1428379200000|Start Date
36|1428448757000|Start Time
37|FC|Location
37|1428379200000|Start Date
37|1428450448000|Start Time
38|FC|Location
