EVENTGROUPINGATTRIBUTETYPE|NAME|DEFAULTVALUE|EVENTGROUPINGATTRIBUTETYPEINDEX|SPECIFICATIONLEVEL|ATTRIBUTEDATATYPE|EVENTGROUPINGTYPE
1|Name|[null]|0|SPECIFIED|STRING|1
2|Location|[null]|1|SPECIFIED|STRING|1
3|Location|[null]|0|INHERITED|STRING|2
4|Start Date|[null]|1|SPECIFIED|DATE|2
5|Location|[null]|0|INHERITED|STRING|3
6|Start Date|[null]|1|INHERITED|DATE|3
7|Start Time|[null]|2|SPECIFIED|TIME|3
8|Location|[null]|0|SPECIFIED|STRING|4
9|Start Date|[null]|1|SPECIFIED|DATE|4
10|Location|[null]|0|INHERITED|STRING|5
11|Start Date|[null]|1|INHERITED|DATE|5
12|Start Time|[null]|2|SPECIFIED|TIME|5
13|Start Date|[null]|0|SPECIFIED|DATE|6
14|Name|[null]|0|SPECIFIED|STRING|7
15|Start Date|[null]|1|INHERITED|DATE|7
16|Start Time|[null]|2|SPECIFIED|TIME|7
