EVENTGROUPING|UUID|EVENTGROUPINGINDEX|CACHEDNAME|THUMBNAILPATH|POINTSFOR|POINTSTIED|POINTSAGAINST|CREATEDBY|SHAREABLE|ALLACCESS|ASSOCIATEDEVENT|EVENTGROUPINGTYPE|PARENTGROUP|OURSEASON|THEIRSEASON|VIEWCOUNT|CREATEDDATE|UPLOADDATE|SHARED|DEMO|SHAREERROR
5|4419f3e1-c987-4945-874d-52a3f7f05357|1|Match: JV vs. NA on Mar 26, 2015||0|0|2|kingleo008@yahoo.com|1|0||4||2|3|0|2015-03-26 17:55:59.998||0|0|0
6|6e53312b-483f-4770-b8ec-9f1c3e0b1de0|0|Game #1 @ 5:55:50 PM||7|0|25|kingleo008@yahoo.com|1|0|3|5|5|2|3|0|2015-03-26 17:56:00.0||0|0|0
7|2e103db3-f96f-4a2c-ab74-b8bc09c17938|1|Game #2 @ 6:18:07 PM||17|0|25|kingleo008@yahoo.com|1|0|4|5|5|2|3|0|2015-03-26 18:18:09.323||0|0|0
8|7b91c7ac-ceef-4f7e-bd06-6f1effc3090e|1|Match: Varsity vs. NA on Mar 26, 2015||3|0|0|kingleo008@yahoo.com|1|0||4||1|3|0|2015-03-26 19:00:57.652||0|0|0
9|5246002d-1edf-4581-8e4b-57405737fc77|0|Game #1 @ 7:00:52 PM||25|0|14|kingleo008@yahoo.com|1|0|5|5|8|1|3|0|2015-03-26 19:00:57.655||0|0|0
10|3f49eed5-cbaf-42b2-a5f7-51e09e299149|1|Game #2 @ 7:28:18 PM||25|0|14|kingleo008@yahoo.com|1|0|6|5|8|1|3|0|2015-03-26 19:28:20.12||0|0|0
11|8b83adfc-1e04-4f30-a523-febbec3e8f95|2|Game #3 @ 7:50:55 PM||25|0|14|kingleo008@yahoo.com|1|0|7|5|8|1|3|0|2015-03-26 19:50:57.018||0|0|0
12|3d197544-7019-4a4d-afb8-670ad1045b8a|2|Tournament: Derry||5|0|2|kingleo008@yahoo.com|1|0||1||1||0|2015-03-28 08:41:39.995||0|0|0
13|0b9f5212-139c-47f0-b6e2-0191829c5c1d|0|Match: Varsity vs. Latrobe on Mar 28, 2015||2|0|0|kingleo008@yahoo.com|1|0||2|12|1|4|0|2015-03-28 08:41:39.998||0|0|0
14|f776b59a-183e-41f5-9d24-9ef820b850b4|0|Game #1 @ 8:41:30 AM||26|0|24|kingleo008@yahoo.com|1|0|8|3|13|1|4|0|2015-03-28 08:41:40.03||0|0|0
15|96dfb9cd-de60-4fd3-bfce-acbf7a0d8b72|1|Game #2 @ 9:03:09 AM||25|0|21|kingleo008@yahoo.com|1|0|9|3|13|1|4|0|2015-03-28 09:03:11.672||0|0|0
18|55255394-7953-4945-a302-9dd38a3cbeef|1|Match: Varsity vs. Shaler on Mar 28, 2015||2|0|0|kingleo008@yahoo.com|1|0||2|12|1|6|0|2015-03-28 13:35:46.913||0|0|0
19|6b62f8ac-2e6b-4e9a-b84c-57e352e5fad8|0|Game #1 @ 1:35:43 PM||25|0|17|kingleo008@yahoo.com|1|0|11|3|18|1|6|0|2015-03-28 13:35:46.915||0|0|0
20|644334cc-e397-424a-b4dc-599ce118cac7|1|Game #2 @ 1:55:27 PM||25|0|22|kingleo008@yahoo.com|1|0|12|3|18|1|6|0|2015-03-28 13:55:29.224||0|0|0
21|689f6cc9-f5f5-4e7b-92b6-060454dad6cd|2|Match: Varsity vs. NA on Mar 28, 2015||0|0|2|kingleo008@yahoo.com|1|0||2|12|1|3|0|2015-03-28 15:06:28.461||0|0|0
22|35f4dad5-ab06-490d-b4fb-4c27f0ec4925|0|Game #1 @ 3:06:22 PM||23|0|25|kingleo008@yahoo.com|1|0|13|3|21|1|3|0|2015-03-28 15:06:28.462||0|0|0
23|a232d2b2-ee99-47f6-a0e0-b2bb41072d45|1|Game #2 @ 3:29:41 PM||23|0|25|kingleo008@yahoo.com|1|0|14|3|21|1|3|0|2015-03-28 15:29:43.181||0|0|0
24|40cf74d5-ae64-478f-8291-7729391166e7|3|Match: Varsity vs. Deer Lakes on Mar 28, 2015||1|0|0|kingleo008@yahoo.com|1|0||2|12|1|7|0|2015-03-28 16:56:37.194||0|0|0
25|d5dcffc1-2654-459a-babe-bca37b90ed11|0|Game #1 @ 4:56:34 PM||25|0|17|kingleo008@yahoo.com|1|0|15|3|24|1|7|0|2015-03-28 16:56:37.195||0|0|0
26|9311c150-35e4-47ee-8aac-5cb7402d6d98|4|Match: Varsity vs. Derry on Mar 28, 2015||1|0|0|kingleo008@yahoo.com|1|0||2|12|1|8|0|2015-03-28 17:41:30.329||0|0|0
27|114ce9da-1cc1-4578-bc16-37bf0a523164|0|Game #1 @ 5:41:26 PM||25|0|22|kingleo008@yahoo.com|1|0|16|3|26|1|8|0|2015-03-28 17:41:30.393||0|0|0
28|475154bb-bbf4-4e1f-ab63-9b1f2ffd511b|5|Match: Varsity vs. Altoona on Mar 28, 2015||1|0|0|kingleo008@yahoo.com|1|0||2|12|1|9|0|2015-03-28 18:18:24.127||0|0|0
29|fb5ba3ee-baad-40ad-8345-0cf7501f184d|0|Game #1 @ 6:18:20 PM||25|0|16|kingleo008@yahoo.com|1|0|17|3|28|1|9|0|2015-03-28 18:18:24.128||0|0|0
30|4c21b9bd-67a6-4ac0-97db-e6ee46eb7fef|6|Match: Varsity vs. Penn Trafford on Mar 28, 2015||0|0|1|kingleo008@yahoo.com|1|0||2|12|1|10|0|2015-03-28 18:41:56.058||0|0|0
31|1a66fb78-a471-4886-887a-24eda6368607|0|Game #1 @ 6:41:50 PM||23|0|25|kingleo008@yahoo.com|1|0|18|3|30|1|10|0|2015-03-28 18:41:56.059||0|0|0
32|5aa5f9f8-e2a6-425c-a93c-b757a4e0e184|2|Match: JV vs. North Hills  on Apr 7, 2015||2|0|0|kingleo008@yahoo.com|1|0||4||2|11|0|2015-04-07 18:02:29.408||0|0|0
33|3f28b4ae-6a94-435a-9d2e-72c6dfb3b2e1|0|Game #1 @ 6:02:11 PM||25|0|18|kingleo008@yahoo.com|1|0|19|5|32|2|11|0|2015-04-07 18:02:29.41||0|0|0
34|5a2d7a2c-d295-4985-832f-ebf4fea960bb|1|Game #2 @ 6:24:35 PM||25|0|21|kingleo008@yahoo.com|1|0|20|5|32|2|11|0|2015-04-07 18:24:36.929||0|0|0
35|edbfcd31-a12f-4bb5-a35c-2622c3a14634|3|Match: Varsity vs. North Hills on Apr 7, 2015||3|0|0|kingleo008@yahoo.com|1|0||4||1|11|0|2015-04-07 19:19:33.029||0|0|0
36|7b9cf911-cb0c-40f1-9f8b-c80a659666df|0|Game #1 @ 7:19:17 PM||25|0|16|kingleo008@yahoo.com|1|0|21|5|35|1|11|0|2015-04-07 19:19:33.033||0|0|0
37|de146cde-8092-4d40-9f5a-0e45520fde15|1|Game #2 @ 7:47:28 PM||25|0|13|kingleo008@yahoo.com|1|0|22|5|35|1|11|0|2015-04-07 19:47:34.259||0|0|0
38|fcf9d917-c837-4152-b515-b7955485b255|2|Game #3 @ 8:05:23 PM||25|0|11|kingleo008@yahoo.com|1|0|23|5|35|1|11|0|2015-04-07 20:05:24.975||0|0|0
39|03e81f51-7ef9-4761-87f3-7cbd2e256953|3|Match: JV vs. Seneca on Apr 9, 2015||0|0|2|kingleo008@yahoo.com|1|0||4||2|12|0|2015-04-09 17:59:52.305||0|0|0
40|5c4fa2d3-1dc6-41ed-9e6c-8355fbeb18f2|0|Game #1 @ 5:59:38 PM||12|0|25|kingleo008@yahoo.com|1|0|24|5|39|2|12|0|2015-04-09 17:59:52.307||0|0|0
41|c64cdf12-3550-4e6c-b242-5add45605d88|1|Game #2 @ 6:15:03 PM||19|0|25|kingleo008@yahoo.com|1|0|25|5|39|2|12|0|2015-04-09 18:15:04.99||0|0|0
42|e9aa8454-ba57-4332-ac39-95405721a9a0|4|Match: Varsity vs. Seneca on Apr 9, 2015||3|0|0|kingleo008@yahoo.com|1|0||4||1|12|0|2015-04-09 18:37:59.92||0|0|0
43|39547f9a-8f1e-46ca-9acf-3f18fdd0dae9|0|Game #1 @ 6:37:50 PM||25|0|21|kingleo008@yahoo.com|1|0|26|5|42|1|12|0|2015-04-09 18:37:59.921||0|0|0
44|0685f9b1-bf05-4a3c-8238-b341b0152bfd|1|Game #2 @ 7:29:57 PM||25|0|22|kingleo008@yahoo.com|1|0|27|5|42|1|12|0|2015-04-09 19:29:59.852||0|0|0
45|77472477-dd62-4ed6-b1e2-77e169000013|2|Game #3 @ 7:55:42 PM||25|0|13|kingleo008@yahoo.com|1|0|28|5|42|1|12|0|2015-04-09 19:55:45.83||0|0|0
46|09dd44a2-9ef9-444d-881d-f1417aed6435|5|Tournament: Fox Chapel||5|3|0|kingleo008@yahoo.com|1|0||1||1||0|2015-04-11 08:40:07.493||0|0|0
47|8644c966-5d69-456e-9914-1a3c1792882c|0|Match: Varsity vs. USC on Apr 11, 2015||2|0|0|kingleo008@yahoo.com|1|0||2|46|1|13|0|2015-04-11 08:40:07.496||0|0|0
48|35b706ca-647f-40a7-ac94-2cf8e4b06b0f|0|Game #1 @ 8:39:45 AM||26|0|19|kingleo008@yahoo.com|1|0|29|3|47|1|13|0|2015-04-11 08:40:07.498||0|0|0
49|59e4c7a3-3f7c-4a63-9645-35594eae3682|1|Game #2 @ 8:56:18 AM||24|0|17|kingleo008@yahoo.com|1|0|30|3|47|1|13|0|2015-04-11 08:56:20.173||0|0|0
50|d24f1c55-88e7-4fd9-9573-88df7d7a1719|1|Match: Varsity vs. Fort LeBoeuf on Apr 11, 2015||1|0|1|kingleo008@yahoo.com|1|0||2|46|1|14|0|2015-04-11 10:03:57.858||0|0|0
51|39b4009b-bfe7-489a-b6ef-28029143e146|0|Game #1 @ 10:03:14 AM||25|0|22|kingleo008@yahoo.com|1|0|31|3|50|1|14|0|2015-04-11 10:03:57.858||0|0|0
52|d94bdf65-c3c9-466d-88df-74b90a0eb75d|1|Game #2 @ 10:28:35 AM||19|0|25|kingleo008@yahoo.com|1|0|32|3|50|1|14|0|2015-04-11 10:28:36.777||0|0|0
53|4f76af6b-6f7d-42bf-8a37-b58de2e97344|2|Match: Varsity vs. Bethel Park  on Apr 11, 2015||2|0|0|kingleo008@yahoo.com|1|0||2|46|1|15|0|2015-04-11 11:58:06.46||0|0|0
54|7093c14a-c2f3-47b2-a465-8b13756dc567|0|Game #1 @ 11:58:01 AM||25|0|21|kingleo008@yahoo.com|1|0|33|3|53|1|15|0|2015-04-11 11:58:06.461||0|0|0
55|fd524cc4-a416-4633-91ee-3e9a9913203c|1|Game #2 @ 12:20:02 PM||25|0|22|kingleo008@yahoo.com|1|0|34|3|53|1|15|0|2015-04-11 12:20:03.64||0|0|0
56|0d19b383-935e-4e3e-994a-ccafea264b10|3|Match: Varsity vs. Saegertown on Apr 11, 2015||1|0|1|kingleo008@yahoo.com|1|0||2|46|1|16|0|2015-04-11 13:46:05.843||0|0|0
57|b81f261b-ac0b-4aae-9af4-a6e2fc5e0c7f|0|Game #1 @ 1:45:30 PM||25|0|19|kingleo008@yahoo.com|1|0|35|3|56|1|16|0|2015-04-11 13:46:05.844||0|0|0
58|fa7dd53b-6f93-4e12-8a5e-10da64d236f1|1|Game #2 @ 2:06:14 PM||19|0|25|kingleo008@yahoo.com|1|0|36|3|56|1|16|0|2015-04-11 14:06:15.342||0|0|0
59|03ccc4c5-8114-49e5-8bb0-183066f8e3a8|4|Match: Varsity vs. Central York on Apr 11, 2015||1|0|1|kingleo008@yahoo.com|1|0||2|46|1|17|0|2015-04-11 15:22:53.045||0|0|0
60|0963797e-c006-47a4-b6e3-9b52ee05fa44|0|Game #1 @ 3:22:47 PM||14|0|25|kingleo008@yahoo.com|1|0|37|3|59|1|17|0|2015-04-11 15:22:53.045||0|0|0
61|36f82e66-fdaa-478c-bbd8-bfb05a96b960|1|Game #2 @ 3:41:21 PM||25|0|22|kingleo008@yahoo.com|1|0|38|3|59|1|17|0|2015-04-11 15:41:23.602||0|0|0
62|d5677422-f466-4a25-94a0-8c29aed0c8ca|5|Match: Varsity vs. Pine Richland on Apr 11, 2015||1|0|0|kingleo008@yahoo.com|1|0||2|46|1|18|0|2015-04-11 16:44:48.067||0|0|0
