GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
3|40d0770f-c67e-44f6-85f9-b6d1442d6761||128|96|2|3|0
4|a59ce4c2-ce52-4ff4-965f-545b98f240b8||173|161|2|3|0
5|efd2b06d-31d6-4b8e-9f48-1d6f95278888||159|224|1|3|0
6|8520bf2a-d8e8-4207-b458-a112bbfcf9c4||148|224|1|3|0
7|347f5d70-7dd3-4b62-9d21-de5424af6b74||154|335|1|3|0
8|e8bdf6f3-2927-418a-a02c-6221b2129ef4||212|430|1|4|0
9|d97e23d1-6197-4802-8eea-f111c58b6a59||198|518|1|4|0
11|b4c1184d-1cc5-4166-84be-47df280877a8||166|596|1|6|0
12|7af0e55f-21d8-445f-aa62-5207624fe1f3||172|678|1|6|0
13|785589d2-b658-4cee-987c-9a9ac7503a39||203|767|1|3|0
14|eeb1f26e-f298-4c31-a321-a1223f9679ff||206|839|1|3|0
15|8c053a3e-50d9-4d38-81aa-a8c0a57b9607||158|914|1|7|0
16|9457e7a2-2f37-495c-b7fb-235f4b106f91||213|997|1|8|0
17|cd0a137d-27e8-4cf9-8c2e-8217122fe3b1||156|1061|1|9|0
18|4c6697dd-d460-4961-b823-9ec1c96aa855||186|1137|1|10|0
19|693f703c-5794-4d4a-8d9b-4171f7634a96||175|1211|2|11|0
20|7c940576-dd5a-4c19-8ba3-7c5d7f10d71d||170|1289|2|11|0
21|aaac19ce-8bee-416a-b316-5e447182d562||141|1333|1|11|0
22|518d795c-ecfb-4b5b-bc08-b8f121918138||151|1403|1|11|0
23|d1e324a1-fc56-4d34-9d51-06f55edf9136||132|1474|1|11|0
24|c9ea1c18-67b4-42ee-8075-46b301cf80de||134|1540|2|12|0
25|10b1fd9e-5482-4342-b71e-27ad51c5fc23||163|1612|2|12|0
26|ddaf28c7-a314-4394-a50d-7f948e153014||204|1693|1|12|0
27|7c8b5aa4-f5a6-4d7d-95b8-3d536faf95c3||174|1748|1|12|0
28|c20dccc2-1975-4f21-a5f7-9d49443b7edf||148|1815|1|12|0
29|59926b43-7d8a-4729-91f0-3039195ab584||147|1887|1|13|0
30|8db3d3cd-85c9-4291-80ca-6102068cccd6||154|1947|1|13|0
31|823b1aa4-6826-45fd-9d0c-dc0a488d25d1||167|2018|1|14|0
32|f1c099a5-0e0d-410d-86ce-6b873d12b373||167|2089|1|14|0
33|97a73126-30c5-4535-9bfb-f127eee2d63a||177|2174|1|15|0
