STATTYPE|UUID|NAME|ONLINEHELP|SHORTCUT|PARSEINFORMATION|STATEFFECT|SEEKTIMEOFFSET|ENDTIMEOFFSET|ACTIONENDINGSTAT|LOCATIONAWARE|POINTCOUNT|COLOR|SHAPE|LINESTYLE|LINEWIDTH|SPORT|DOUBLETAP|PRIVATESTAT
1|1d90dcda-a0a0-4ec6-82bf-180af7381996|Assist|[null]|a|%p ||-5.0E0|5.0E0|0|0|||POINT|DOTTED||1|0|0
2|094b12e8-b04a-4627-93be-d6746df7ee29|Attempt|[null]|at|%p |1|-5.0E0|5.0E0|0|1|2|#e1ff00|POINT|DOTTED|2|1|0|0
3|39a5df14-6cef-45d5-ae46-433819821232|Ball Handling Error|[null]|bhe|%p |2|-5.0E0|5.0E0|1|0|||POINT|DOTTED||1|0|0
4|9ee3d116-6ce5-48cb-af05-8001097a5a64|Block Touch|[null]|bt|%p ||-5.0E0|5.0E0|0|0||[null]|[null]|[null]||1|0|0
5|f629a007-8ca7-4f05-bc77-2fd04182627d|Blocking Error|[null]|be|%p |2|-5.0E0|5.0E0|1|0|||POINT|DOTTED||1|0|0
6|677b199e-4097-46c6-8652-18d0d36d54e3|Cover |[null]|c|%p ||-5.0E0|5.0E0|0|0||[null]|[null]|[null]||1||0
7|5c4fa758-0f17-4537-b1ee-09618f29e2ab|Dig|[null]|d|%p |3|-5.0E0|5.0E0|0|0|||[null]|[null]||1|0|0
8|3b2226f4-970d-481d-90a5-d92c170b0919|Dig Rating|[null]|dr|%p %d ||-5.0E0|5.0E0|0|0||[null]|[null]|[null]||1|0|0
9|abaf18da-8ebe-4bec-9c96-56e3fd094ffa|Double Block|[null]|db|%p %p |13|-5.0E0|5.0E0|1|0|||POINT|DOTTED||1|0|0
10|6b9f4b15-82a9-41d1-a5cf-2425d21ca332|Error|[null]|e|%p |4|-5.0E0|5.0E0|1|1|2|#ff0505|POINT|SOLID|2|1|0|0
11|2d36b897-45f4-47de-90e9-85622b0fe70f|Free Ball Zero|[null]|fa|%p ||-7.0E0|3.0E0|0|0||[null]|[null]|[null]||1||0
12|ef684998-fc19-442b-a109-0e76c3ebc750|Free Ball-Overpass Dig|[null]|fb|%p ||-5.0E0|5.0E0|0|0||[null]|[null]|[null]||1||0
13|b869ef2e-a1af-4618-b934-5f7374d9c815|Freeball|[null]|f|%p %d ||-5.0E0|5.0E0|0|0|||POINT|DOTTED||1|0|0
14|204dad0d-dfc2-4cd7-a607-ceb785c8c410|Kill|[null]|k|%p |5|-5.0E0|5.0E0|1|1|2|#15ff00|POINT|DOTTED|2|1|0|0
15|331a713e-2f51-4c46-a2ff-ba9e9fafe7f0|Missed Dig|[null]|md|%p |2|-5.0E0|5.0E0|1|0|||POINT|DOTTED||1|0|0
16|ff579bbc-de30-4edc-a785-f9a95c4f2ebc|Our Point|[null]|op||13|-5.0E0|5.0E0|1|0|||POINT|DOTTED||1|0|0
17|22605e44-7b66-4209-b612-7cd5c3acdbeb|Out Of System|[null]|o|||-2.0E0|4.0E0|0|0||[null]|[null]|[null]||1|0|0
18|ba82f576-83c8-42a9-bc8f-6a2fa5c5c345|Passer Rating|[null]|p|%p %d |6|-5.0E0|5.0E0|0|0|||POINT|DOTTED||1|0|0
19|5f2d604d-f0b1-41d2-ab5e-9743d65a2e17|Serve Rating|[null]|ser|%p %d ||-5.0E0|5.0E0|0|0|||[null]|[null]||1|0|0
20|6335a0ec-6b20-40bc-a3e0-ee816e99ec80|Serve Type - Hybrid|[null]|hy||7|-5.0E0|5.0E0|0|0|||POINT|DOTTED||1|0|0
21|c3b03232-8169-4e61-9c16-e87d85d3c280|Serve Type - Jump Float|[null]|jf||7|-5.0E0|5.0E0|0|0|||POINT|DOTTED||1||0
22|69c46b80-24cb-489d-9e1a-daaabf190b50|Serve Type - Jump Serve|[null]|js||7|-5.0E0|5.0E0|0|0|||POINT|DOTTED||1||0
23|b0584a27-c9bf-401b-81d0-b0a689daf958|Serve Type - Standing Float|[null]|sf||7|-5.0E0|5.0E0|0|0||[null]|[null]|[null]||1||0
