EVENTGROUPING,UUID,EVENTGROUPINGINDEX,CACHEDNAME,THUMBNAILPATH,POINTSFOR,POINTSTIED,POINTSAGAINST,CREATEDBY,SHAREABLE,ALLACCESS,ASSOCIATEDEVENT,EVENTGROUPINGTYPE,PARENTGROUP,OURSEASON,THEIRSEASON,VIEWCOUNT,CREATEDDATE,UPLOADDATE,SHARED,DEMO,SHAREERROR
5,4419f3e1-c987-4945-874d-52a3f7f05357,1,"Match: JV vs. NA on Mar 26, 2015",,0,0,2,kingleo008@yahoo.com,1,0,,4,,2,3,0,2015-03-26 17:55:59.998000,,0,0,0
6,6e53312b-483f-4770-b8ec-9f1c3e0b1de0,0,Game #1 @ 5:55:50 PM,,7,0,25,kingleo008@yahoo.com,1,0,3,5,5,2,3,0,2015-03-26 17:56:00.000000,,0,0,0
7,2e103db3-f96f-4a2c-ab74-b8bc09c17938,1,Game #2 @ 6:18:07 PM,,17,0,25,kingleo008@yahoo.com,1,0,4,5,5,2,3,0,2015-03-26 18:18:09.323000,,0,0,0
8,7b91c7ac-ceef-4f7e-bd06-6f1effc3090e,1,"Match: Varsity vs. NA on Mar 26, 2015",,3,0,0,kingleo008@yahoo.com,1,0,,4,,1,3,0,2015-03-26 19:00:57.652000,,0,0,0
9,5246002d-1edf-4581-8e4b-57405737fc77,0,Game #1 @ 7:00:52 PM,,25,0,14,kingleo008@yahoo.com,1,0,5,5,8,1,3,0,2015-03-26 19:00:57.655000,,0,0,0
10,3f49eed5-cbaf-42b2-a5f7-51e09e299149,1,Game #2 @ 7:28:18 PM,,25,0,14,kingleo008@yahoo.com,1,0,6,5,8,1,3,0,2015-03-26 19:28:20.120000,,0,0,0
11,8b83adfc-1e04-4f30-a523-febbec3e8f95,2,Game #3 @ 7:50:55 PM,,25,0,14,kingleo008@yahoo.com,1,0,7,5,8,1,3,0,2015-03-26 19:50:57.018000,,0,0,0
12,3d197544-7019-4a4d-afb8-670ad1045b8a,2,Tournament: Derry,,5,0,2,kingleo008@yahoo.com,1,0,,1,,1,,0,2015-03-28 08:41:39.995000,,0,0,0
13,0b9f5212-139c-47f0-b6e2-0191829c5c1d,0,"Match: Varsity vs. Latrobe on Mar 28, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,2,12,1,4,0,2015-03-28 08:41:39.998000,,0,0,0
14,f776b59a-183e-41f5-9d24-9ef820b850b4,0,Game #1 @ 8:41:30 AM,,26,0,24,kingleo008@yahoo.com,1,0,8,3,13,1,4,0,2015-03-28 08:41:40.030000,,0,0,0
15,96dfb9cd-de60-4fd3-bfce-acbf7a0d8b72,1,Game #2 @ 9:03:09 AM,,25,0,21,kingleo008@yahoo.com,1,0,9,3,13,1,4,0,2015-03-28 09:03:11.672000,,0,0,0
18,55255394-7953-4945-a302-9dd38a3cbeef,1,"Match: Varsity vs. Shaler on Mar 28, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,2,12,1,6,0,2015-03-28 13:35:46.913000,,0,0,0
19,6b62f8ac-2e6b-4e9a-b84c-57e352e5fad8,0,Game #1 @ 1:35:43 PM,,25,0,17,kingleo008@yahoo.com,1,0,11,3,18,1,6,0,2015-03-28 13:35:46.915000,,0,0,0
20,644334cc-e397-424a-b4dc-599ce118cac7,1,Game #2 @ 1:55:27 PM,,25,0,22,kingleo008@yahoo.com,1,0,12,3,18,1,6,0,2015-03-28 13:55:29.224000,,0,0,0
21,689f6cc9-f5f5-4e7b-92b6-060454dad6cd,2,"Match: Varsity vs. NA on Mar 28, 2015",,0,0,2,kingleo008@yahoo.com,1,0,,2,12,1,3,0,2015-03-28 15:06:28.461000,,0,0,0
22,35f4dad5-ab06-490d-b4fb-4c27f0ec4925,0,Game #1 @ 3:06:22 PM,,23,0,25,kingleo008@yahoo.com,1,0,13,3,21,1,3,0,2015-03-28 15:06:28.462000,,0,0,0
23,a232d2b2-ee99-47f6-a0e0-b2bb41072d45,1,Game #2 @ 3:29:41 PM,,23,0,25,kingleo008@yahoo.com,1,0,14,3,21,1,3,0,2015-03-28 15:29:43.181000,,0,0,0
24,40cf74d5-ae64-478f-8291-7729391166e7,3,"Match: Varsity vs. Deer Lakes on Mar 28, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,12,1,7,0,2015-03-28 16:56:37.194000,,0,0,0
25,d5dcffc1-2654-459a-babe-bca37b90ed11,0,Game #1 @ 4:56:34 PM,,25,0,17,kingleo008@yahoo.com,1,0,15,3,24,1,7,0,2015-03-28 16:56:37.195000,,0,0,0
26,9311c150-35e4-47ee-8aac-5cb7402d6d98,4,"Match: Varsity vs. Derry on Mar 28, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,12,1,8,0,2015-03-28 17:41:30.329000,,0,0,0
27,114ce9da-1cc1-4578-bc16-37bf0a523164,0,Game #1 @ 5:41:26 PM,,25,0,22,kingleo008@yahoo.com,1,0,16,3,26,1,8,0,2015-03-28 17:41:30.393000,,0,0,0
28,475154bb-bbf4-4e1f-ab63-9b1f2ffd511b,5,"Match: Varsity vs. Altoona on Mar 28, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,12,1,9,0,2015-03-28 18:18:24.127000,,0,0,0
29,fb5ba3ee-baad-40ad-8345-0cf7501f184d,0,Game #1 @ 6:18:20 PM,,25,0,16,kingleo008@yahoo.com,1,0,17,3,28,1,9,0,2015-03-28 18:18:24.128000,,0,0,0
30,4c21b9bd-67a6-4ac0-97db-e6ee46eb7fef,6,"Match: Varsity vs. Penn Trafford on Mar 28, 2015",,0,0,1,kingleo008@yahoo.com,1,0,,2,12,1,10,0,2015-03-28 18:41:56.058000,,0,0,0
31,1a66fb78-a471-4886-887a-24eda6368607,0,Game #1 @ 6:41:50 PM,,23,0,25,kingleo008@yahoo.com,1,0,18,3,30,1,10,0,2015-03-28 18:41:56.059000,,0,0,0
32,5aa5f9f8-e2a6-425c-a93c-b757a4e0e184,2,"Match: JV vs. North Hills  on Apr 7, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,4,,2,11,0,2015-04-07 18:02:29.408000,,0,0,0
33,3f28b4ae-6a94-435a-9d2e-72c6dfb3b2e1,0,Game #1 @ 6:02:11 PM,,25,0,18,kingleo008@yahoo.com,1,0,19,5,32,2,11,0,2015-04-07 18:02:29.410000,,0,0,0
34,5a2d7a2c-d295-4985-832f-ebf4fea960bb,1,Game #2 @ 6:24:35 PM,,25,0,21,kingleo008@yahoo.com,1,0,20,5,32,2,11,0,2015-04-07 18:24:36.929000,,0,0,0
35,edbfcd31-a12f-4bb5-a35c-2622c3a14634,3,"Match: Varsity vs. North Hills on Apr 7, 2015",,3,0,0,kingleo008@yahoo.com,1,0,,4,,1,11,0,2015-04-07 19:19:33.029000,,0,0,0
36,7b9cf911-cb0c-40f1-9f8b-c80a659666df,0,Game #1 @ 7:19:17 PM,,25,0,16,kingleo008@yahoo.com,1,0,21,5,35,1,11,0,2015-04-07 19:19:33.033000,,0,0,0
37,de146cde-8092-4d40-9f5a-0e45520fde15,1,Game #2 @ 7:47:28 PM,,25,0,13,kingleo008@yahoo.com,1,0,22,5,35,1,11,0,2015-04-07 19:47:34.259000,,0,0,0
38,fcf9d917-c837-4152-b515-b7955485b255,2,Game #3 @ 8:05:23 PM,,25,0,11,kingleo008@yahoo.com,1,0,23,5,35,1,11,0,2015-04-07 20:05:24.975000,,0,0,0
39,03e81f51-7ef9-4761-87f3-7cbd2e256953,3,"Match: JV vs. Seneca on Apr 9, 2015",,0,0,2,kingleo008@yahoo.com,1,0,,4,,2,12,0,2015-04-09 17:59:52.305000,,0,0,0
40,5c4fa2d3-1dc6-41ed-9e6c-8355fbeb18f2,0,Game #1 @ 5:59:38 PM,,12,0,25,kingleo008@yahoo.com,1,0,24,5,39,2,12,0,2015-04-09 17:59:52.307000,,0,0,0
41,c64cdf12-3550-4e6c-b242-5add45605d88,1,Game #2 @ 6:15:03 PM,,19,0,25,kingleo008@yahoo.com,1,0,25,5,39,2,12,0,2015-04-09 18:15:04.990000,,0,0,0
42,e9aa8454-ba57-4332-ac39-95405721a9a0,4,"Match: Varsity vs. Seneca on Apr 9, 2015",,3,0,0,kingleo008@yahoo.com,1,0,,4,,1,12,0,2015-04-09 18:37:59.920000,,0,0,0
43,39547f9a-8f1e-46ca-9acf-3f18fdd0dae9,0,Game #1 @ 6:37:50 PM,,25,0,21,kingleo008@yahoo.com,1,0,26,5,42,1,12,0,2015-04-09 18:37:59.921000,,0,0,0
44,0685f9b1-bf05-4a3c-8238-b341b0152bfd,1,Game #2 @ 7:29:57 PM,,25,0,22,kingleo008@yahoo.com,1,0,27,5,42,1,12,0,2015-04-09 19:29:59.852000,,0,0,0
45,77472477-dd62-4ed6-b1e2-77e169000013,2,Game #3 @ 7:55:42 PM,,25,0,13,kingleo008@yahoo.com,1,0,28,5,42,1,12,0,2015-04-09 19:55:45.830000,,0,0,0
46,09dd44a2-9ef9-444d-881d-f1417aed6435,5,Tournament: Fox Chapel,,5,3,0,kingleo008@yahoo.com,1,0,,1,,1,,0,2015-04-11 08:40:07.493000,,0,0,0
47,8644c966-5d69-456e-9914-1a3c1792882c,0,"Match: Varsity vs. USC on Apr 11, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,2,46,1,13,0,2015-04-11 08:40:07.496000,,0,0,0
48,35b706ca-647f-40a7-ac94-2cf8e4b06b0f,0,Game #1 @ 8:39:45 AM,,26,0,19,kingleo008@yahoo.com,1,0,29,3,47,1,13,0,2015-04-11 08:40:07.498000,,0,0,0
49,59e4c7a3-3f7c-4a63-9645-35594eae3682,1,Game #2 @ 8:56:18 AM,,24,0,17,kingleo008@yahoo.com,1,0,30,3,47,1,13,0,2015-04-11 08:56:20.173000,,0,0,0
50,d24f1c55-88e7-4fd9-9573-88df7d7a1719,1,"Match: Varsity vs. Fort LeBoeuf on Apr 11, 2015",,1,0,1,kingleo008@yahoo.com,1,0,,2,46,1,14,0,2015-04-11 10:03:57.858000,,0,0,0
51,39b4009b-bfe7-489a-b6ef-28029143e146,0,Game #1 @ 10:03:14 AM,,25,0,22,kingleo008@yahoo.com,1,0,31,3,50,1,14,0,2015-04-11 10:03:57.858000,,0,0,0
52,d94bdf65-c3c9-466d-88df-74b90a0eb75d,1,Game #2 @ 10:28:35 AM,,19,0,25,kingleo008@yahoo.com,1,0,32,3,50,1,14,0,2015-04-11 10:28:36.777000,,0,0,0
53,4f76af6b-6f7d-42bf-8a37-b58de2e97344,2,"Match: Varsity vs. Bethel Park  on Apr 11, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,2,46,1,15,0,2015-04-11 11:58:06.460000,,0,0,0
54,7093c14a-c2f3-47b2-a465-8b13756dc567,0,Game #1 @ 11:58:01 AM,,25,0,21,kingleo008@yahoo.com,1,0,33,3,53,1,15,0,2015-04-11 11:58:06.461000,,0,0,0
55,fd524cc4-a416-4633-91ee-3e9a9913203c,1,Game #2 @ 12:20:02 PM,,25,0,22,kingleo008@yahoo.com,1,0,34,3,53,1,15,0,2015-04-11 12:20:03.640000,,0,0,0
56,0d19b383-935e-4e3e-994a-ccafea264b10,3,"Match: Varsity vs. Saegertown on Apr 11, 2015",,1,0,1,kingleo008@yahoo.com,1,0,,2,46,1,16,0,2015-04-11 13:46:05.843000,,0,0,0
57,b81f261b-ac0b-4aae-9af4-a6e2fc5e0c7f,0,Game #1 @ 1:45:30 PM,,25,0,19,kingleo008@yahoo.com,1,0,35,3,56,1,16,0,2015-04-11 13:46:05.844000,,0,0,0
58,fa7dd53b-6f93-4e12-8a5e-10da64d236f1,1,Game #2 @ 2:06:14 PM,,19,0,25,kingleo008@yahoo.com,1,0,36,3,56,1,16,0,2015-04-11 14:06:15.342000,,0,0,0
59,03ccc4c5-8114-49e5-8bb0-183066f8e3a8,4,"Match: Varsity vs. Central York on Apr 11, 2015",,1,0,1,kingleo008@yahoo.com,1,0,,2,46,1,17,0,2015-04-11 15:22:53.045000,,0,0,0
60,0963797e-c006-47a4-b6e3-9b52ee05fa44,0,Game #1 @ 3:22:47 PM,,14,0,25,kingleo008@yahoo.com,1,0,37,3,59,1,17,0,2015-04-11 15:22:53.045000,,0,0,0
61,36f82e66-fdaa-478c-bbd8-bfb05a96b960,1,Game #2 @ 3:41:21 PM,,25,0,22,kingleo008@yahoo.com,1,0,38,3,59,1,17,0,2015-04-11 15:41:23.602000,,0,0,0
62,d5677422-f466-4a25-94a0-8c29aed0c8ca,5,"Match: Varsity vs. Pine Richland on Apr 11, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,46,1,18,0,2015-04-11 16:44:48.067000,,0,0,0
63,173d35c6-e73a-4108-897d-731b93f02dc9,0,Game #1 @ 4:44:40 PM,,25,0,14,kingleo008@yahoo.com,1,0,39,3,62,1,18,0,2015-04-11 16:44:48.069000,,0,0,0
64,5d825e88-e6dd-4c01-b89b-4dca1b3f6749,6,"Match: Varsity vs. Saegertown on Apr 11, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,46,1,16,0,2015-04-11 17:19:09.585000,,0,0,0
65,30ee9cfb-45d4-4faf-af4c-f056a60dff7a,0,Game #1 @ 5:19:04 PM,,28,0,26,kingleo008@yahoo.com,1,0,40,3,64,1,16,0,2015-04-11 17:19:09.586000,,0,0,0
66,bfff6164-e843-4888-b574-34991975b7ef,7,"Match: Varsity vs. Central York on Apr 11, 2015",,1,0,0,kingleo008@yahoo.com,1,0,,2,46,1,17,0,2015-04-11 17:54:37.407000,,0,0,0
67,9e698dc7-2e0a-4bde-9baa-d1b78263e127,0,Game #1 @ 5:54:33 PM,,30,0,28,kingleo008@yahoo.com,1,0,41,3,66,1,17,0,2015-04-11 17:54:37.408000,,0,0,0
70,94c511c3-f506-4339-8de3-ecbc8b280d51,4,"Match: JV vs. Butler on Apr 16, 2015",,0,0,2,kingleo008@yahoo.com,1,0,,4,,2,19,0,2015-04-16 18:04:10.990000,,0,0,0
71,7ec490b6-9102-408d-b5ea-433398a9113d,0,Game #1 @ 6:04:03 PM,,12,0,25,kingleo008@yahoo.com,1,0,43,5,70,2,19,0,2015-04-16 18:04:10.991000,,0,0,0
72,72b83de3-e552-4c22-a5e4-702144bd3bff,1,Game #2 @ 6:18:27 PM,,21,0,25,kingleo008@yahoo.com,1,0,44,5,70,2,19,0,2015-04-16 18:18:31.063000,,0,0,0
73,f433914e-59da-492f-ade6-4caecc61b427,7,"Match: Varsity vs. Butler on Apr 16, 2015",,3,1,0,kingleo008@yahoo.com,1,0,,4,,1,19,0,2015-04-16 19:16:38.042000,,0,0,0
74,0c578093-5b28-462d-ac52-447c1db445f8,0,Game #1 @ 7:15:53 PM,,25,0,11,kingleo008@yahoo.com,1,0,45,5,73,1,19,0,2015-04-16 19:16:38.046000,,0,0,0
75,78f7cf3e-ac30-4d0f-adcc-2976da56516a,1,Game #2 @ 7:35:23 PM,,0,1,0,kingleo008@yahoo.com,1,0,46,5,73,1,19,0,2015-04-16 19:35:24.218000,,0,0,0
76,1e3996bc-e872-40b5-9fdb-d7c6171d5510,2,Game #3 @ 7:35:51 PM,,26,0,24,kingleo008@yahoo.com,1,0,47,5,73,1,19,0,2015-04-16 19:36:41.672000,,0,0,0
77,01605e13-4fb3-4704-b730-076a942ed101,3,Game #4 @ 8:02:23 PM,,25,0,15,kingleo008@yahoo.com,1,0,48,5,73,1,19,0,2015-04-16 20:02:25.256000,,0,0,0
78,33cd3559-7bf1-4a43-9f27-5cac797adc5b,5,"Match: JV vs. Shaler on Apr 20, 2015",,2,0,0,kingleo008@yahoo.com,1,0,,4,,2,6,0,2015-04-20 17:56:00.172000,,0,0,0
