GAMESTATE,HASHCODE
1,565110877
2,180159906
3,180159906
4,180159907
5,180159908
6,919719097
7,-1222132742
8,1798175712
9,1798175713
10,1798175714
11,1798175715
12,1798175716
13,919719103
14,919719104
15,-1222132735
16,1798175719
17,-1222132735
18,919719106
19,919719107
20,1798175722
21,919719109
22,919719110
23,1798175725
24,1798175726
25,919719113
26,919720623
27,-2081555590
28,-1341994856
29,-1726945826
30,-848489211
31,-1726945824
32,426169633
33,-1726945823
34,-1726945822
35,426169635
36,-1726945821
37,-848489206
38,-1726945819
39,426169638
40,-1726945818
41,426169638
42,426169639
43,-848489203
44,-1726945816
45,-1726945844
46,426169613
47,-1726945843
48,426169614
49,-1726944333
50,426171124
51,-848487718
52,426171124
53,-1726944331
54,426171126
55,-848487716
56,-1726944330
57,-1726944330
58,-1726944329
59,-1726944328
60,426171129
61,-1726944327
62,-1726944326
63,-1726944330
64,-1726944329
65,-1726944330
66,-1726944329
67,426171128
68,-1726944329
69,-1726944328
70,-1726944329
71,-1726944328
72,-1726944327
73,-1726944328
74,-1726944326
75,426171131
76,-848487711
77,-848487709
78,-1726944322
79,-848487707
80,-1726944320
81,-1726944292
82,-1726944291
83,426171166
84,-1726944269
85,426171166
86,-848487654
87,1304627803
88,-1726944267
89,-1726944266
90,426171191
91,-1726944265
92,426171191
93,426171192
94,-1726944264
95,426171192
96,-1726944263
97,-2081555589
98,-1341994855
99,-1726945826
100,-1726945825
101,-1726945826
102,426169632
103,-848489210
104,-848489209
105,-848489208
106,-848489207
107,-848489206
108,-1726945819
109,-848489204
110,-1726945817
111,426169640
112,-848489202
113,-1726945815
114,-848489200
115,-848489199
116,-1726945812
117,-1726945811
118,-1726945810
119,426169647
120,-1726945809
121,426169648
122,-1726945810
123,-848487686
124,-1726944299
125,-1726942789
126,426172668
127,-1726942788
128,426172668
129,-1726942787
130,-848486172
131,-848486170
132,-1726942783
133,426172674
134,-1726942782
135,426172675
136,-1726942781
137,426172676
138,-848486166
139,426172676
140,-1726942779
141,-848486164
142,-1726942777
143,-1726942776
144,426172681
145,-1726942775
146,426172681
147,426172682
148,-1726942753
149,426172704
150,-848486138
151,-848486140
152,-1726942753
153,-1726942752
154,426172705
155,-1726942751
156,-848486136
157,-848486135
158,-1726942748
159,426172709
160,-848486133
161,-1726942746
162,-2081563255
163,-1342004066
164,-848498422
165,-848498421
166,1304617036
167,-848498420
168,1304617036
169,-848498419
170,-1726955032
171,426160425
172,-848498417
173,426160425
174,-1726955030
175,426160427
176,-848498415
177,-1726955028
178,426160429
179,-1726955027
180,426160429
181,426160430
182,-1726955026
183,426160430
184,426160431
185,-848498411
186,426160431
187,-848498410
188,-848498409
189,-848496899
190,-1726953512
191,426161945
192,-1726953511
193,426161945
194,-848496896
195,-848496895
196,-1726953508
197,-1726953507
198,-848496892
199,-848496891
200,-848496890
201,-1726951994
202,426163463
203,-848495379
204,426163463
205,1304620078
206,-848495378
207,1304620078
208,-1726951991
209,-848495376
210,-1726951989
211,426163468
212,-848495374
213,426163468
214,-848495352
215,1304620105
216,-848495351
217,1304620105
218,-848495350
219,-1726951963
220,426163494
221,-1726951962
222,-848495347
223,-848495346
224,-848495345
225,-2081563255
226,-1342004066
227,-1726955037
228,-1726955037
229,-1726955036
230,-848498421
231,-1726955034
232,-848498419
233,1304617038
234,-1726955032
235,1304617038
236,426160425
237,-848498417
238,426160425
239,-848498416
240,1304617041
241,-848498415
242,1304617041
243,-1726955028
244,426160429
245,-848498413
246,426160429
247,-1726955026
248,-848498411
249,1304617046
250,-848498410
251,1304617046
252,1304617047
253,-848498409
254,1304617047
255,-848496899
256,-1726953513
257,-1726953513
258,426161944
259,-1726953512
260,426161944
261,-1726953511
262,426161945
263,426161946
264,-848496896
265,426161946
266,-1726953509
267,-848496894
268,-848496893
269,-848496892
270,-848496891
271,-1726953504
272,-848496889
273,-848496888
274,-848496887
275,-1726951991
276,426163466
277,-1726951990
278,426163466
279,426163467
280,-848495375
281,426163467
282,-848495353
283,-848495352
284,-848495351
285,-1726951964
286,426163495
