TEAM,UUID,TEAMNAME,OPPONENT,AUTOGENERATED,SPORT,CREATEDDATE
1,27afd967-2cd5-4eac-a39b-d8f77b9fec7a,Varsity,,0,1,
2,af3d27c5-07ee-4420-97b2-cb2d53fec2a8,JV,,0,1,
3,a2ba34ab-29ca-4cf9-af7b-66ebdae82e21,NA,1,1,1,
4,9942e2ce-774a-4542-bf88-40fd59973677,Latrobe,1,1,1,
5,b65d1616-ff35-4365-827a-22afec7d238b,Central Dragons,1,1,1,
6,d7c731c2-de24-446a-9bad-a4ce92d3859d,Shaler,1,1,1,
7,5b61e4f3-d6e8-45f5-a856-70c9581e060d,Deer Lakes,1,1,1,
8,992874a7-5396-4303-90e3-f3f9c4398226,Derry,1,1,1,
9,7a83fd3d-991c-4027-bc8e-8d90e84f208a,Altoona,1,1,1,
10,c90d4d64-0883-48d9-9e3c-951195fe0ae6,Penn Trafford,1,1,1,
11,b7226f8e-2ceb-4000-9cbd-7b09f6340cf3,"North Hills ",1,1,1,
12,78168534-d327-42b5-b354-daebb7dc7802,Seneca,1,1,1,
13,1e491711-ceba-4946-9987-807a971ce113,USC,1,1,1,
14,c32cca29-2405-4c29-9883-e75b473c1ae9,Fort LeBoeuf,1,1,1,
15,9ddc5ea5-8b59-4c5d-acdc-2598081006ab,"Bethel Park ",1,1,1,
16,7075063c-2659-4640-9a61-e18527652c37,Saegertown,1,1,1,
17,b69fd258-9769-487f-9442-e60c7b395138,Central York,1,1,1,
18,ec09ae2b-ccbc-4881-af2e-c8ed51037fc4,Pine Richland,1,1,1,
19,6b0ba328-13a6-42cf-8c44-2e868a09cae9,Butler,1,1,1,
20,4141ab49-5fe3-4216-b8ae-943750565770,Central Catholic,1,1,1,
21,97f74f07-b480-426e-9f54-bffa25eebdd3,Montour,1,1,1,
22,8c30df1a-ff45-44e2-89c5-d1b11d22429c,Norwin,1,1,1,
23,9d2733f5-915e-4b37-ba38-21b3af07cab0,Plum,1,1,1,
24,c299d41b-ffa4-4293-8b3c-5f697aa3cea3,Seneca Valley,1,1,1,
25,586d9eeb-db6a-4ddc-81d3-5ad0d526a622,Central Dauphin,1,1,1,
26,366e0992-d769-4d0d-b123-8dde4ece236d,Parkland,1,1,1,
27,3c52d0c4-b42f-4b1e-a724-43ade4e0ce32,Varsity,,0,1,
28,95c541fb-efc4-4489-91b5-e71c16ff96bf,Beaver,1,1,1,
29,d9d0aa8f-e74a-499d-af5f-715ec8e63ec5,Quaker Valley,1,1,1,
30,944e853b-f8ee-440f-ae81-8c862556354f,Moon,1,1,1,
31,8ee4f030-ad76-4793-8b3f-04a8e65c5234,Seton La Salle,1,1,1,
32,0080b4b7-4274-4d41-b990-e2a3f3195f31,Woodland Hillls,1,1,1,
33,4ee60934-7eaf-499f-8a60-c8806f033bd4,oakland catholic high school,1,1,1,
34,e3aa4364-6a4a-433a-95ca-7655376c9506,Oakland Catholic,1,1,1,
35,8eeb8b1e-2ba6-4c7d-b728-8051acac5525,Gateway,1,1,1,
36,ed38d3e8-08f5-4ffe-8593-b9743ede36ea,Penn Hills,1,1,1,
37,22c6e12c-514e-45df-9330-518c96e1fe2b,Armstrong,1,1,1,
38,3c55c47b-5572-4985-ae9e-bef56a62d770,Hampton,1,1,1,
39,fd4b976d-988b-41a8-baeb-8407f43ce784,penn Trafford,1,1,1,
40,926d9eac-59f4-4765-8466-ba612c312b25,Penn Hill,1,1,1,
41,94855f97-c200-45e3-a8b2-e60a35310b9c,Hempfield,1,1,1,
42,ca80827d-bb27-439d-b84d-670a9b023b78,Baldwin,1,1,1,
43,b52985cf-f921-4a0d-8908-f4570d1573be,Varsity 2016,,0,1,
44,deec67cd-d464-42f8-bdd1-c54847208727,West Shamokin,1,1,1,
45,125db5ad-42e1-4340-93f5-bb67eb05c8f1,Huntington,1,1,1,
46,c45eea19-0dae-442a-ab84-c6a6321d184f,Peters Township,1,1,1,
47,32b39075-c3b9-4194-a56f-4e2430eb90a2,Conneaut Valley,1,1,1,
48,b3c40c7b-e3db-4290-97f1-b68a5ead9d54,South Park,1,1,1,
49,9eddac17-f3e8-46c7-a9e5-b77af043f711,Bishop Guilfoyle,1,1,1,
50,a0d40637-2113-4837-b6e1-c3de2c614129,Girls 2017,,0,1,
51,73d12d58-2981-4df6-9542-0b6057e8a526,Mt Lebonan,1,1,1,
52,91b7d9ec-7169-43f1-9f22-3256b5332a3b,Titusville,1,1,1,
