STATDATA,PLAYER,NUMERICALDATA,TIME,STAT,DATAINDEX
71,12,,,71,0
72,13,,,71,1
73,19,,,71,2
74,24,,,71,3
75,15,,,71,4
76,23,,,71,5
77,12,,,72,0
78,12,,,73,0
79,14,,,74,0
80,13,,,78,0
81,14,,,81,0
82,,1,,81,1
83,14,,,82,0
84,,2,,82,1
85,24,,,83,0
86,12,,,84,0
87,14,,,85,0
88,15,,,89,0
89,,2,,89,1
90,24,,,90,0
91,12,,,91,0
92,13,,,92,0
93,15,,,93,0
94,12,,,95,0
95,14,,,98,0
96,15,,,101,0
97,,2,,101,1
98,24,,,102,0
99,12,,,104,0
100,13,,,105,0
101,,2,,105,1
102,15,,,106,0
103,12,,,107,0
105,24,,,111,0
106,17,,,113,0
107,24,,,113,1
108,15,,,114,0
109,,2,,114,1
110,15,,,115,0
111,12,,,116,0
112,15,,,119,0
113,,2,,119,1
114,13,,,120,0
115,12,,,121,0
116,15,,,124,0
117,,2,,124,1
118,15,,,125,0
119,12,,,127,0
120,15,,,128,0
121,14,,,129,0
122,15,,,130,0
123,12,,,132,0
124,13,,,133,0
125,,2,,133,1
126,13,,,134,0
127,12,,,135,0
128,14,,,138,0
129,,2,,138,1
130,14,,,143,0
131,,2,,143,1
132,15,,,144,0
134,14,,,148,0
135,17,,,149,0
137,12,,,155,0
138,12,,,157,0
139,13,,,159,0
140,,2,,159,1
141,14,,,162,0
142,,2,,162,1
143,13,,,163,0
144,12,,,164,0
145,14,,,165,0
146,12,,,166,0
147,12,,,168,0
148,25,,,169,0
149,23,,,169,1
150,25,,,170,0
151,13,,,172,0
152,,2,,172,1
153,13,,,173,0
154,,1,,173,1
155,24,,,178,0
156,17,,,178,1
157,12,,,179,0
158,13,,,182,0
159,,1,,182,1
160,13,,,183,0
161,12,,,185,0
162,13,,,188,0
163,15,,,189,0
164,12,,,190,0
165,15,,,191,0
166,12,,,193,0
167,15,,,194,0
168,,2,,194,1
169,13,,,197,0
170,,2,,197,1
171,24,,,198,0
172,12,,,200,0
173,15,,,201,0
174,,2,,201,1
175,15,,,202,0
176,,2,,202,1
177,24,,,203,0
178,12,,,205,0
179,23,,,208,0
180,12,,,208,1
181,13,,,208,2
182,16,,,208,3
183,24,,,208,4
184,19,,,208,5
185,12,,,209,0
186,16,,,210,0
187,,0,,210,1
188,14,,,212,0
189,,2,,212,1
190,13,,,213,0
191,12,,,214,0
192,24,,,215,0
193,13,,,216,0
194,12,,,218,0
195,12,,,219,0
196,12,,,222,0
197,12,,,225,0
198,12,,,228,0
199,12,,,231,0
200,12,,,232,0
201,12,,,233,0
202,12,,,234,0
203,24,,,236,0
204,,1,,236,1
205,13,,,239,0
206,13,,,240,0
207,24,,,241,0
208,12,,,242,0
209,12,,,243,0
210,12,,,244,0
211,14,,,245,0
212,12,,,246,0
213,12,,,248,0
214,16,,,249,0
215,,2,,249,1
216,16,,,250,0
217,12,,,251,0
218,14,,,252,0
219,16,,,253,0
220,12,,,254,0
221,16,,,255,0
222,12,,,257,0
223,16,,,258,0
224,12,,,259,0
225,13,,,260,0
226,12,,,261,0
227,14,,,262,0
228,13,,,267,0
229,13,,,268,0
230,12,,,269,0
231,13,,,270,0
232,12,,,272,0
233,16,,,275,0
234,,1,,275,1
235,13,,,276,0
236,,0,,276,1
237,16,,,280,0
238,,2,,280,1
239,13,,,281,0
240,12,,,282,0
241,14,,,283,0
242,16,,,284,0
243,12,,,286,0
244,13,,,287,0
245,,1,,287,1
246,13,,,288,0
247,12,,,289,0
248,14,,,290,0
249,15,,,291,0
250,16,,,291,1
251,15,,,294,0
252,13,,,299,0
253,,2,,299,1
254,13,,,300,0
255,12,,,302,0
256,14,,,303,0
257,,1,,303,1
258,25,,,308,0
259,23,,,308,1
260,25,,,309,0
261,24,,,310,0
262,13,,,313,0
263,,2,,313,1
264,13,,,314,0
265,12,,,315,0
266,15,,,318,0
267,,2,,318,1
268,13,,,319,0
269,12,,,320,0
270,25,,,323,0
271,,2,,323,1
272,13,,,324,0
273,12,,,326,0
274,12,,,327,0
275,13,,,332,0
276,14,,,334,0
277,,2,,334,1
278,15,,,337,0
279,,2,,337,1
280,15,,,338,0
281,12,,,340,0
282,13,,,341,0
283,,3,,341,1
284,13,,,342,0
285,12,,,343,0
286,13,,,346,0
287,,2,,346,1
288,24,,,347,0
289,12,,,348,0
290,13,,,349,0
291,,1,,349,1
292,19,,,350,0
293,12,,,351,0
294,13,,,352,0
295,23,,,355,0
296,25,,,355,1
297,14,,,358,0
298,14,,,361,0
299,,2,,361,1
300,15,,,362,0
301,12,,,363,0
302,24,,,368,0
303,24,,,371,0
304,12,,,372,0
305,15,,,374,0
306,,2,,374,1
307,15,,,375,0
308,12,,,376,0
309,13,,,377,0
312,7,,,385,0
313,11,,,385,1
314,1,,,385,2
315,3,,,385,3
316,4,,,385,4
317,2,,,385,5
318,2,,,386,0
319,7,,,387,0
320,7,,,389,0
321,7,,,392,0
322,7,,,393,0
323,,3,,393,1
324,1,,,394,0
325,2,,,396,0
326,7,,,397,0
327,3,,,398,0
328,11,,,399,0
329,2,,,401,0
330,7,,,402,0
331,5,,,403,0
332,7,,,405,0
333,,3,,405,1
334,1,,,406,0
335,2,,,408,0
336,5,,,409,0
337,7,,,410,0
338,1,,,411,0
339,2,,,413,0
340,3,,,414,0
341,,2,,414,1
342,4,,,415,0
343,2,,,416,0
344,7,,,417,0
345,,3,,417,1
346,3,,,418,0
347,2,,,420,0
348,1,,,421,0
349,2,,,422,0
350,1,,,423,0
351,3,,,424,0
352,2,,,425,0
353,5,,,426,0
354,,3,,426,1
355,3,,,427,0
356,2,,,429,0
361,5,,,434,0
362,,1,,434,1
363,3,,,435,0
367,4,,,439,0
369,7,,,442,0
370,,3,,442,1
372,3,,,445,0
381,5,,,459,0
382,,2,,459,1
383,2,,,461,0
384,2,,,463,0
385,2,,,465,0
